Field,Energy,Magnetization,Susceptibility
0.0,-1.0127728711656585e-24,0.0020040899795500987,1.0943837537542208e+20
0.1,1.0286088390552004e-24,0.03505112474437627,1.275867409402627e+20
0.2,2.749792616687056e-25,0.0611860940695296,1.0215507465292713e+20
0.3,-1.3437914710388401e-24,0.0910838445807771,1.1487853893172388e+20
0.4,-4.917909734069534e-25,0.10736196319018403,1.0682804264463619e+20
0.5,9.66347291595085e-25,0.1526584867075664,1.042883766477328e+20
0.6,1.694952586560308e-24,0.16116564417177917,8.443055202350626e+19
0.7,-2.086971408625754e-24,0.21063394683026593,1.0843935077076124e+20
0.8,1.9345665895541858e-24,0.23658486707566473,1.0227604631409712e+20
0.9,-3.0403998496728077e-24,0.2664212678936605,9.44763721145108e+19
1.0,-2.7526348388548143e-24,0.3014928425357874,1.0641677291281095e+20
1.1,2.6160250011165505e-24,0.3193456032719835,6.077190124956389e+19
1.2,-1.0224655783067477e-24,0.3556441717791414,1.1586465117122616e+20
1.3,-4.434263617762782e-24,0.37421267893660515,9.596560630439451e+19
1.4,3.907967769570534e-24,0.411676891615542,8.832178895513952e+19
1.5,-3.748899995705564e-25,0.43693251533742283,8.28775796859357e+19
1.6,-4.496181497996004e-25,0.4561145194274025,8.307952616986642e+19
1.7,4.842216136257688e-24,0.47989775051124717,7.830770469594477e+19
1.8,-2.4095302630674962e-24,0.4833946830265846,7.078729370335722e+19
1.9,-2.043930462147234e-24,0.5220245398773005,7.273398416196258e+19
2.0,-2.304264026380356e-24,0.5538445807770962,6.119782760599943e+19
2.1,8.34928714482613e-25,0.5746625766871167,7.182398946714567e+19
2.2,2.7090298217014237e-24,0.5812474437627816,6.7268141230292935e+19
2.3,4.456513192188192e-25,0.6001840490797551,5.390372216519213e+19
2.4,-2.2180326172597218e-24,0.6429856850715742,6.336775904943984e+19
2.5,-7.528454082106343e-24,0.6387934560327192,4.218478175354084e+19
2.6,-3.96293725543557e-24,0.6720245398773002,5.365531054737351e+19
2.7,-2.9184083568139272e-24,0.699509202453988,6.407976818281957e+19
2.8,4.628437840196316e-24,0.6911451942740285,4.616430970731676e+19
2.9,-3.2708898739018494e-24,0.7033742331288341,4.064309865077175e+19
3.0,-2.551669201226988e-24,0.7324335378323115,4.325735596530798e+19
3.1,-4.732683787852819e-25,0.7344376278118608,3.6500930615410803e+19
3.0,2.4776536810224903e-24,0.7249897750511252,4.7913620250129195e+19
2.9,3.8569937413946815e-24,0.7129243353783227,4.754321948646806e+19
2.8,3.176283502920241e-24,0.6957055214723935,5.887620615426395e+19
2.7,-5.175257704257671e-24,0.6828016359918199,5.226827300367022e+19
2.6,3.3075646400327313e-24,0.6595705521472381,4.2819207679794995e+19
2.5,2.88974202934559e-24,0.6285685071574642,5.126536015395959e+19
2.4,1.6553334643435553e-24,0.6222290388548051,4.545090758893781e+19
2.3,-9.288594787525565e-25,0.6183435582822081,5.394740132914431e+19
2.2,6.387859008597129e-24,0.5816359918200404,7.346240629235819e+19
2.1,-7.201434532147181e-25,0.5687321063394686,6.0275041675155735e+19
2.0,-1.2236208797545862e-24,0.562188139059305,8.285862297722508e+19
1.9,-4.9363831596850316e-24,0.5298364008179958,6.712740129527338e+19
1.8,-1.974205439730054e-24,0.5243149284253581,8.553108283829374e+19
1.7,-6.203311306040919e-24,0.4807770961145196,7.929717221231608e+19
1.6,1.710642440817984e-24,0.45445807770961144,1.0528162339293784e+20
1.5,3.439713920674848e-24,0.44404907975460056,8.088690724057471e+19
1.4,-1.4599208181513403e-24,0.4098364008179958,7.433595323224026e+19
1.3,-2.8357722146298434e-24,0.4134560327198361,8.375008491531159e+19
