Field,Energy,Magnetization,Susceptibility
0.0,-2.6199066789366042e-24,0.010511247443762781,5.420251138779604e+19
0.1,-5.682071083619635e-25,0.11296523517382412,1.0367255312747047e+20
0.2,1.1701127494642102e-24,0.14748466257668705,6.186815620610215e+19
0.3,-1.7067706182106375e-24,0.27575664621676876,6.8040557460356825e+19
0.4,-9.858425576482623e-25,0.34768916155419194,3.7687599382101344e+19
0.5,-2.1006335848977603e-24,0.3788650306748467,5.177615260642243e+19
0.6,-2.115120902032727e-24,0.4843353783231082,4.373135847308771e+19
0.7,1.6904192805092007e-24,0.5057361963190182,4.8531412118757e+19
0.8,1.4364141768834303e-24,0.5587218813905931,2.803831063614108e+19
0.9,1.0057325384601377e-24,0.596278118609407,3.5583004990872895e+19
1.0,1.4816698902863116e-24,0.634437627811861,4.017480435320074e+19
1.1,1.7105741474049102e-24,0.657566462167689,2.229213856114955e+19
1.2,-2.3469391716891585e-24,0.6839366053169736,2.0039627333989143e+19
1.3,-2.0082629461206514e-24,0.7068507157464209,2.110737757826001e+19
1.4,-6.647498443312931e-25,0.7238548057259729,1.9274397089484366e+19
1.5,-5.00004734877306e-25,0.7398568507157464,1.5062437478236991e+19
1.6,-4.08206676419222e-24,0.7657873210633949,1.9567986844225217e+19
1.7,1.1969025657280245e-24,0.7811349693251536,1.3399646444014004e+19
1.8,-6.961437277681001e-24,0.8084662576687108,1.538257873806767e+19
1.9,-5.99398735340084e-24,0.8207157464212681,1.275858869795738e+19
2.0,-2.0303266476482706e-24,0.8237423312883442,1.2797150156175757e+19
2.1,1.6424082883333302e-24,0.8362167689161558,1.6046018118927098e+19
2.2,-7.937888697202433e-24,0.8472597137014319,1.0111756732368329e+19
2.3,-6.617187799570485e-25,0.8618098159509207,1.2352073284462547e+19
2.4,2.4720133529654403e-26,0.8634355828220869,1.0573773512797788e+19
2.5,-1.677930127965237e-24,0.8768609406952962,7.56858101898431e+18
